playlist_name,playlist_id,playlist_uri,owner,tracks_count
Kanye To The,6Sz7KT9MhChZuAJDKEWiLF,spotify:playlist:6Sz7KT9MhChZuAJDKEWiLF,Spotify,40
Found Them First,3sJ6SlgRo56Oa7YhHcLK5l,spotify:playlist:3sJ6SlgRo56Oa7YhHcLK5l,Spotify,20
New Year's 2015,2FjbiwWYHqEifO3VY5LYP8,spotify:playlist:2FjbiwWYHqEifO3VY5LYP8,Spotify,41
A Bite Out Of The Afternoon,3uDgik1xOhjYVsXucW7GEb,spotify:playlist:3uDgik1xOhjYVsXucW7GEb,Spotify,23
Girls Night Out,1Bxi8UJlVM7tLYDMOqsYYF,spotify:playlist:1Bxi8UJlVM7tLYDMOqsYYF,Spotify,48
Power Hour,7wiCMbRM2F6PQYGLwnJ7GJ,spotify:playlist:7wiCMbRM2F6PQYGLwnJ7GJ,Spotify,38
Let Loose,3Nh594yQ7PkhEPzUUAKlnH,spotify:playlist:3Nh594yQ7PkhEPzUUAKlnH,Spotify,65
Foam Party,3L1KIXcFcHhfeMlf7pD7IB,spotify:playlist:3L1KIXcFcHhfeMlf7pD7IB,Spotify,67
An Epic Evening,6wz9sFJRqsmu7ldv0xJOIz,spotify:playlist:6wz9sFJRqsmu7ldv0xJOIz,Spotify,25
Falling In Love,08vPKM3pmoyF6crB2EtASQ,spotify:playlist:08vPKM3pmoyF6crB2EtASQ,Spotify,33
Early Morning Rise,68oeNrImf1nxjL0RbpZkij,spotify:playlist:68oeNrImf1nxjL0RbpZkij,Spotify,27
Backstage,5qVqzAenJiKLfRny06XQf0,spotify:playlist:5qVqzAenJiKLfRny06XQf0,Spotify,100
Bullet for Hell,1RKtKRcejWjN6ZOkghImIV,spotify:playlist:1RKtKRcejWjN6ZOkghImIV,Spotify,20
Grand Hustle Gang Spotify Picks,4C0S1zvtcMtk2notLxCL1J,spotify:playlist:4C0S1zvtcMtk2notLxCL1J,Spotify,41
MMG Spotify Picks,2nZndNnauO6SID8cjf4C9F,spotify:playlist:2nZndNnauO6SID8cjf4C9F,Spotify,40
Shady Records Spotify Picks,3hR94iGaotWbCFv5eDe0gZ,spotify:playlist:3hR94iGaotWbCFv5eDe0gZ,Spotify,41
Taylor Gang Spotify Picks,5VvCwhF9WqXKUaJLtJfeXn,spotify:playlist:5VvCwhF9WqXKUaJLtJfeXn,Spotify,28
country 90's,6SGM9ZiMSfayAmJMNFlX2u,spotify:playlist:6SGM9ZiMSfayAmJMNFlX2u,Spotify,50
Hours of Ours,54LbSpjd64NjKPUyYAGkNU,spotify:playlist:54LbSpjd64NjKPUyYAGkNU,Spotify,23
Walk a Country Mile,4p3lupatTubTWpTgCZjgpk,spotify:playlist:4p3lupatTubTWpTgCZjgpk,Spotify,20
Honeysuckle Lazy,6tLfPD2P9syvBV8rgO2Yq1,spotify:playlist:6tLfPD2P9syvBV8rgO2Yq1,Spotify,20
On to Something Good,3FfBohQXFlgFnYubzrvoq4,spotify:playlist:3FfBohQXFlgFnYubzrvoq4,Spotify,20
Back to the Roots,1S4JPQeJxtsN37X8as5EPk,spotify:playlist:1S4JPQeJxtsN37X8as5EPk,Spotify,49
Beer 'n Burgers,7CHrwiytyubNpnaZqyyUkb,spotify:playlist:7CHrwiytyubNpnaZqyyUkb,Spotify,21
Bossa Nova,4LmOnbOmtMUyQQjo6L9mct,spotify:playlist:4LmOnbOmtMUyQQjo6L9mct,Spotify,41
King of Pop,653U7cDBXXkPZ07Xk8kxL6,spotify:playlist:653U7cDBXXkPZ07Xk8kxL6,Spotify,27
The Jazz Escape,7hjaw2oDqkMS2uDk5vmzAu,spotify:playlist:7hjaw2oDqkMS2uDk5vmzAu,Spotify,50
Workday - Country,6MtNKlWguIlTJ6Q7WAcDtU,spotify:playlist:6MtNKlWguIlTJ6Q7WAcDtU,Spotify,181
Workday - Singer-songwriter,3TurM2x1HaeNEztqBnomV6,spotify:playlist:3TurM2x1HaeNEztqBnomV6,Spotify,123
Tunigo Live,5rqcJUB5ox8BK3L3Ki7gfF,spotify:playlist:5rqcJUB5ox8BK3L3Ki7gfF,Spotify,12
Top Picks Toplists,4lCv0oN3gPxoqvXmA3cDjS,spotify:playlist:4lCv0oN3gPxoqvXmA3cDjS,Spotify,20
Top Picks Pop,3xGWOQUB6jgHd4PLVQvbfG,spotify:playlist:3xGWOQUB6jgHd4PLVQvbfG,Spotify,20
Top Picks Decades,0q2dbyUyAuUkW3ec6XRwJD,spotify:playlist:0q2dbyUyAuUkW3ec6XRwJD,Spotify,20
Top Picks Workout,45mRKVQrL1pK9tbRp25yro,spotify:playlist:45mRKVQrL1pK9tbRp25yro,Spotify,20
Top Picks Mood,1EQVvrXxgoWdqUHni1LOgm,spotify:playlist:1EQVvrXxgoWdqUHni1LOgm,Spotify,20
Top Picks Kids,4ruhrP9ntTdDMpjrk22v9u,spotify:playlist:4ruhrP9ntTdDMpjrk22v9u,Spotify,20
Top Picks Classical,3jh9R9uXIoozPA0uccJt2C,spotify:playlist:3jh9R9uXIoozPA0uccJt2C,Spotify,20
Top Picks Pop Culture,5QZZbWjNVjynssxTuO3f0f,spotify:playlist:5QZZbWjNVjynssxTuO3f0f,Spotify,20
Top Picks Party,2WIkzIBRwM9wRD9innJ8b7,spotify:playlist:2WIkzIBRwM9wRD9innJ8b7,Spotify,20
Top Picks Chill,2b5yd7Ox7vb4OcPOOVYwFZ,spotify:playlist:2b5yd7Ox7vb4OcPOOVYwFZ,Spotify,20
Top Picks Urban,6spPs4oxQEPSWXyXzqg8CR,spotify:playlist:6spPs4oxQEPSWXyXzqg8CR,Spotify,20
Top Picks Club,285xVjuyHG2CusStdc8kCS,spotify:playlist:285xVjuyHG2CusStdc8kCS,Spotify,20
Top Picks Country,7hx7ugiU2MaeXOjQRVDzdk,spotify:playlist:7hx7ugiU2MaeXOjQRVDzdk,Spotify,20
Top Picks Events,2Mecjd64RGHE4vLDMuX88V,spotify:playlist:2Mecjd64RGHE4vLDMuX88V,Spotify,20
Top Picks Groove,38ZGEwSsiHoOEOu446h75W,spotify:playlist:38ZGEwSsiHoOEOu446h75W,Spotify,20
Top Picks Rock,5QOzTki17fEWKoUVcvTrI2,spotify:playlist:5QOzTki17fEWKoUVcvTrI2,Spotify,20
Top Picks Romance,4tSzT9BRuf3qRJDbPz4SlS,spotify:playlist:4tSzT9BRuf3qRJDbPz4SlS,Spotify,21
Top Picks Jazz and Blues,5LrQkRUFFuKWAJCECd2X9y,spotify:playlist:5LrQkRUFFuKWAJCECd2X9y,Spotify,20
